feature,r2,r2_best_kfold
stroke_severity_arrival,0.25753270387649535,0.26439428329467773
age,0.3298955798149109,0.33604973554611206
prior_disability,0.35428128242492674,0.3597680330276489
thrombolysis_no_but_haemorrhagic,0.36388789415359496,0.36831045150756836
arrival_to_scan_time_mins,0.3725612282752991,0.3770153522491455
arrival_to_thrombolysis_time_mins,0.37605183124542235,0.3795686960220337
eth5,0.37807544469833376,0.38185375928878784
male,0.38011608123779295,0.38359665870666504
onset_to_su_arrival_time_mins,0.3816554069519043,0.38580000400543213
onset_to_scan_time_mins,0.3841758131980896,0.38722044229507446
arrive_by_ambulance,0.3863556385040283,0.3896626830101013
arrival_to_thrombectomy_time_mins,0.38722198009490966,0.38985031843185425
afib_doac_anticoagulant,0.38883280754089355,0.393665611743927
atrial_fibrillation,0.3898655533790588,0.3938711881637573
diabetes,0.391417932510376,0.3954846262931824
thrombolysis_no_but_improving,0.39186193943023684,0.39684778451919556
congestive_heart_failure,0.39260700941085813,0.39631664752960205
inr_arrival,0.3930191397666931,0.39686280488967896
thrombolysis_no_but_othermedical,0.3927096247673035,0.3963685631752014
new_afib_diagnosis,0.3931697130203247,0.39801985025405884
thrombolysis_no_but_age,0.3934053897857666,0.397845983505249
afib_vit_k_anticoagulant,0.39357054233551025,0.3982686996459961
region,0.3933842420578003,0.39776283502578735
afib_heparin_anticoagulant,0.39380367994308474,0.3985331654548645
thrombolysis_no_but_refusal,0.3939965724945068,0.3985975980758667
