feature,r2,r2_best_kfold
stroke_severity_arrival,0.19079895650677825,0.19844046201621768
age,0.2763813408787926,0.28476134987554924
prior_disability,0.2989580375514726,0.3059521736595192
onset_to_thrombectomy_time_mins,0.30220928645621326,0.308557565765502
eth5,0.30442194677553785,0.31216312736014695
atrial_fibrillation,0.30570776076130757,0.3125511020066203
thrombolysis_no_but_comorbidity,0.30600118902636647,0.3106083404877832
afib_anticoagulant,0.3099213553057686,0.31932201253712744
stroke_type,0.3099213553057686,0.31932201253712744
onset_in_hospital,0.3099213553057686,0.31932201253712744
thrombolysis_no_but_timeunknownwakeup,0.30899315546096473,0.3179460994243647
diabetes,0.31094152003493036,0.3185759453462892
afib_heparin_anticoagulant,0.31054429500483316,0.31839593688690315
thrombolysis_no_but_othermedical,0.31135638401335425,0.3205106874026601
arrival_to_thrombectomy_time_mins,0.3127250406670295,0.31797100627012165
thrombolysis_no_but_medication,0.31367041925701844,0.32143765202576013
prior_stroke_tia,0.31396684672446323,0.3225483706071832
thrombolysis_no_but_refusal,0.3138611238108428,0.3214514673083321
male,0.31445510289442186,0.32345016330195797
inr_arrival,0.3142014083534686,0.3215390643202769
hypertension,0.31520574267054763,0.32195831565052646
thrombolysis_to_thrombectomy_time_mins,0.3145431669140125,0.3232140246109171
recent_covid,0.3144701702189314,0.32130120711565824
afib_antiplatelet,0.3143380254796572,0.32122854869605155
thrombolysis_no_but_age,0.31367193139573657,0.32322371783887716
