,variable,value,abs_value,r-squared
Treatment_time_270_both_ivt_mt_under_270mins,Treatment_time_270_both_only_mt_under_270mins,-0.009,0.009,0.0001
Treatment_time_270_both_only_ivt_over_270mins,Treatment_time_270_both_only_mt_under_270mins,-0.0077,0.0077,0.0001
Treatment_time_270_both_only_ivt_over_270mins,Treatment_time_270_both_only_mt_over_270mins,-0.0103,0.0103,0.0001
Treatment_time_270_both_ivt_mt_over_270mins,any_afib_diagnosis,-0.0041,0.0041,0.0
Treatment_time_270_both_ivt_mt_over_270mins,precise_onset_known,-0.0043,0.0043,0.0
Treatment_time_270_both_ivt_mt_over_270mins,Treatment_time_270_both_only_mt_under_270mins,-0.0022,0.0022,0.0
Treatment_time_270_both_ivt_mt_over_270mins,Treatment_time_270_both_only_mt_over_270mins,-0.0029,0.0029,0.0
Treatment_time_270_both_only_ivt_over_270mins,Treatment_time_270_both_ivt_mt_over_270mins,-0.0028,0.0028,0.0
Treatment_time_270_both_ivt_mt_over_270mins,Treatment_time_270_both_ivt_mt_under_270mins,-0.0033,0.0033,0.0
Treatment_time_270_both_only_ivt_over_270mins,precise_onset_known,-0.0021,0.0021,0.0
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,Treatment_time_270_both_ivt_mt_over_270mins,-0.0034,0.0034,0.0
stroke_severity_arrival,precise_onset_known,-0.0005,0.0005,0.0
