,feature name,feature value,min,1q,median,3q,max,mean,sd,n (nearest 5),kfold
0,stroke_severity_arrival,0.0,-17.885374779343838,-10.068290763681288,-9.215135955972364,-7.759845572315389,13.042319217668846,-8.544824698695708,2.6060306430509512,1850,0
1,stroke_severity_arrival,1.0,-21.79676464168122,-12.475033591949614,-11.610520747523989,-10.286529149995186,1.369122883931268,-10.998031350375383,2.3936623207233225,2270,0
2,stroke_severity_arrival,2.0,-22.288429316598922,-10.685531867808896,-9.650083135190652,-8.057757182577625,3.298194662986789,-9.158574252379704,2.25133496942908,2945,0
3,stroke_severity_arrival,3.0,-16.842078199414537,-9.173233471123968,-8.27515576760634,-6.939382759893778,4.334707503934624,-7.828975235351523,2.185269200296443,2615,0
4,stroke_severity_arrival,4.0,-18.218487817682327,-6.779092317363247,-5.991228872459614,-3.9719825690751893,3.1023492543643805,-5.375657477295805,2.1489019888512004,2210,0
5,stroke_severity_arrival,5.0,-10.313892968354049,-4.548958709842991,-3.6015720086183864,-2.097912420675857,5.404994577951729,-3.3506280379055657,1.8928621947823001,1860,0
6,stroke_severity_arrival,6.0,-10.908721056398935,-2.7529457547096534,-1.6805762245226652,-0.47070295094279574,11.946073432050179,-1.7060410763981126,1.849628780163124,1650,0
7,stroke_severity_arrival,7.0,-13.949105679937638,-0.7479229205870069,0.782145859998418,2.1432391437189655,16.047230413580547,0.5376045125387282,2.098597259386588,1275,0
8,stroke_severity_arrival,8.0,-11.139011443030322,1.1397230777790537,2.8699932386877482,4.145099722378655,13.819916149722411,2.6195852307257357,2.1077175572720614,1055,0
9,stroke_severity_arrival,9.0,-30.601254656373058,2.111508435428841,3.6663468954723792,5.040122586217476,10.68381686230423,3.5243596586500994,2.3444519695367765,905,0
10,stroke_severity_arrival,10.0,-15.805489541632124,4.217495592299383,5.323657026980072,6.41136817607854,17.692996439891868,5.163227107934572,2.10060025096238,785,0
11,stroke_severity_arrival,11.0,-32.34779277575435,4.7670864705042915,6.113185884370468,7.170220101184677,53.32604543815716,5.785844117787219,3.2500490083408065,705,0
12,stroke_severity_arrival,12.0,-0.8772445384738967,7.1887129906006155,9.241147452852456,11.098389626378193,34.52167530787643,9.212567790061888,3.562796405383301,635,0
13,stroke_severity_arrival,13.0,-0.5404631385661196,7.0937374317302595,9.953351877178065,11.977923022602337,24.660166977512418,9.860076386732478,3.662732473532189,590,0
14,stroke_severity_arrival,14.0,-13.017553695646347,8.478089388136867,11.457653534973506,14.221222877666879,72.856498422015,11.48430643948914,5.278669516500708,525,0
15,stroke_severity_arrival,15.0,-19.263840984259733,8.86936936115788,12.615569406808355,15.389175612385152,29.048803588012234,11.992210026751648,4.461428095763241,495,0
16,stroke_severity_arrival,16.0,0.4230615781247616,10.86121062103397,15.568644568941671,18.043590858932586,29.22738618504489,14.90790028540217,5.218879624870995,490,0
17,stroke_severity_arrival,17.0,-1.5652838082355447,9.7053556745057,13.377221900736913,15.921830874229782,27.642892451615772,13.029887803540431,4.495811506257682,505,0
18,stroke_severity_arrival,18.0,-19.03456662573386,11.205834288164915,15.834421514545102,20.464253320826103,41.329199979463596,16.048942068877285,6.780663175765877,465,0
19,stroke_severity_arrival,19.0,-3.716809785903897,8.82186806334008,13.461715240507619,16.990012398189865,59.78401154642808,13.553446611785409,6.94271513767007,480,0
20,stroke_severity_arrival,20.0,-6.420652827735758,7.557606556195533,13.257172849809285,17.02390354426112,38.49850958681432,12.680087497789742,6.610496141197989,425,0
21,stroke_severity_arrival,21.0,-6.117833792149322,7.39484159941785,13.542822872186079,17.228095221285475,50.12494198041269,13.387637346385544,7.471490619940658,440,0
