,variable,value,abs_value,r-squared
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,eth5_Other ethnic group,0.0071,0.0071,0.0001
covid_status_Vaccination only,Treatment_time_270_both_only_ivt_over_270mins,0.0072,0.0072,0.0001
prior_disability,covid_status_Infection only,0.0078,0.0078,0.0001
onset_in_hospital_or_arrival_within_6hrs_in_hospital,"eth5_Black, Black British, Caribbean or African",-0.0104,0.0104,0.0001
onset_in_hospital_or_arrival_within_6hrs_in_hospital,onset_time_type_P,-0.0084,0.0084,0.0001
stroke_severity_arrival,eth5_White,-0.0106,0.0106,0.0001
"eth5_Black, Black British, Caribbean or African",onset_in_hospital_or_arrival_within_6hrs_within_6hrs,-0.0119,0.0119,0.0001
stroke_type_PIH,Treatment_time_270_both_ivt_mt_over_270mins,-0.0084,0.0084,0.0001
Treatment_time_270_both_ivt_mt_over_270mins,covid_status_None,-0.0071,0.0071,0.0001
covid_status_Vaccination only,prior_disability,0.0096,0.0096,0.0001
Treatment_time_270_both_only_ivt_under_270mins,Treatment_time_270_both_ivt_mt_over_270mins,-0.0072,0.0072,0.0001
onset_time_type_P,"eth5_Black, Black British, Caribbean or African",-0.0092,0.0092,0.0001
stroke_type_I,Treatment_time_270_both_ivt_mt_over_270mins,0.0086,0.0086,0.0001
age,Treatment_time_270_both_ivt_mt_over_270mins,-0.0098,0.0098,0.0001
Treatment_time_270_both_ivt_mt_over_270mins,prior_disability,-0.0091,0.0091,0.0001
onset_time_type_NK,covid_status_Vaccination only,-0.0107,0.0107,0.0001
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,IMD_2019_QUINTILES,0.0082,0.0082,0.0001
eth5_White,onset_time_type_NK,0.0091,0.0091,0.0001
covid_status_Vaccination only,onset_in_hospital_or_arrival_within_6hrs_onset_unknown,-0.0107,0.0107,0.0001
covid_status_None,onset_time_type_NK,0.0099,0.0099,0.0001
eth5_White,onset_time_type_P,-0.0077,0.0077,0.0001
onset_time_type_BE,diabetes,0.0117,0.0117,0.0001
prior_disability,onset_in_hospital_or_arrival_within_6hrs_onset_unknown,0.0104,0.0104,0.0001
stroke_severity_arrival,IMD_2019_QUINTILES,-0.0075,0.0075,0.0001
"eth5_Black, Black British, Caribbean or African",Treatment_time_270_both_only_ivt_under_270mins,-0.0092,0.0092,0.0001
onset_time_type_BE,eth5_Mixed or multiple ethnic groups,0.0048,0.0048,0.0
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,eth5_Mixed or multiple ethnic groups,-0.0021,0.0021,0.0
eth5_Mixed or multiple ethnic groups,onset_time_type_NK,-0.004,0.004,0.0
Treatment_time_270_both_only_mt_over_270mins,Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,-0.0058,0.0058,0.0
"eth5_Black, Black British, Caribbean or African",prior_disability,-0.0059,0.0059,0.0
eth5_Mixed or multiple ethnic groups,onset_time_type_P,-0.001,0.001,0.0
onset_time_type_P,covid_status_Vaccination only,0.0058,0.0058,0.0
stroke_type_I,eth5_Mixed or multiple ethnic groups,-0.0035,0.0035,0.0
onset_time_type_BE,covid_status_Vaccination only,0.0046,0.0046,0.0
eth5_Mixed or multiple ethnic groups,stroke_severity_arrival,-0.0016,0.0016,0.0
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,covid_status_Vaccination only,-0.0039,0.0039,0.0
stroke_type_PIH,eth5_Other ethnic group,0.0067,0.0067,0.0
eth5_Other ethnic group,stroke_type_NK,-0.0023,0.0023,0.0
eth5_Other ethnic group,stroke_type_I,-0.0062,0.0062,0.0
eth5_Other ethnic group,stroke_severity_arrival,0.0053,0.0053,0.0
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,eth5_White,0.0054,0.0054,0.0
eth5_Mixed or multiple ethnic groups,stroke_type_NK,-0.0022,0.0022,0.0
eth5_Other ethnic group,prior_disability,-0.0009,0.0009,0.0
"eth5_Black, Black British, Caribbean or African",stroke_severity_arrival,0.0028,0.0028,0.0
onset_time_type_P,eth5_Other ethnic group,0.0006,0.0006,0.0
eth5_Mixed or multiple ethnic groups,stroke_type_PIH,0.004,0.004,0.0
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,eth5_Mixed or multiple ethnic groups,0.0005,0.0005,0.0
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,eth5_White,-0.005,0.005,0.0
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,eth5_Asian or Asian British,0.001,0.001,0.0
eth5_Other ethnic group,onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,0.0059,0.0059,0.0
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,covid_status_Vaccination and infection,-0.001,0.001,0.0
onset_in_hospital_or_arrival_within_6hrs_in_hospital,eth5_Other ethnic group,-0.0024,0.0024,0.0
onset_in_hospital_or_arrival_within_6hrs_onset_unknown,eth5_Other ethnic group,-0.0048,0.0048,0.0
covid_status_Infection only,Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,0.004,0.004,0.0
any_afib_diagnosis,Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,-0.0009,0.0009,0.0
Treatment_time_270_both_only_mt_under_270mins,Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,-0.0035,0.0035,0.0
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,eth5_Other ethnic group,0.0006,0.0006,0.0
onset_time_type_BE,eth5_Other ethnic group,0.004,0.004,0.0
eth5_Other ethnic group,onset_time_type_NK,-0.0048,0.0048,0.0
eth5_Mixed or multiple ethnic groups,onset_in_hospital_or_arrival_within_6hrs_onset_unknown,-0.004,0.004,0.0
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,"eth5_Black, Black British, Caribbean or African",0.0039,0.0039,0.0
Treatment_time_270_both_ivt_mt_under_270mins,any_afib_diagnosis,-0.0013,0.0013,0.0
covid_status_Infection only,Treatment_time_270_both_ivt_mt_under_270mins,-0.0005,0.0005,0.0
covid_status_None,Treatment_time_270_both_ivt_mt_under_270mins,-0.0011,0.0011,0.0
covid_status_Vaccination and infection,Treatment_time_270_both_ivt_mt_under_270mins,-0.0003,0.0003,0.0
covid_status_Vaccination only,Treatment_time_270_both_ivt_mt_under_270mins,0.0013,0.0013,0.0
Treatment_time_270_both_ivt_mt_under_270mins,eth5_Asian or Asian British,0.0021,0.0021,0.0
onset_time_type_NK,Treatment_time_270_both_ivt_mt_over_270mins,-0.003,0.003,0.0
Treatment_time_270_both_ivt_mt_over_270mins,onset_time_type_P,-0.0008,0.0008,0.0
stroke_type_NK,Treatment_time_270_both_ivt_mt_over_270mins,-0.0014,0.0014,0.0
Treatment_time_270_both_ivt_mt_under_270mins,Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,-0.005,0.005,0.0
Treatment_time_270_both_only_ivt_over_270mins,Treatment_time_270_both_ivt_mt_under_270mins,-0.0052,0.0052,0.0
Treatment_time_270_both_only_mt_under_270mins,eth5_Mixed or multiple ethnic groups,0.0011,0.0011,0.0
eth5_Other ethnic group,Treatment_time_270_both_ivt_mt_over_270mins,0.0003,0.0003,0.0
Treatment_time_270_both_ivt_mt_over_270mins,eth5_White,-0.0016,0.0016,0.0
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,Treatment_time_270_both_ivt_mt_over_270mins,-0.0019,0.0019,0.0
Treatment_time_270_both_ivt_mt_over_270mins,onset_in_hospital_or_arrival_within_6hrs_in_hospital,-0.0041,0.0041,0.0
onset_in_hospital_or_arrival_within_6hrs_onset_unknown,Treatment_time_270_both_ivt_mt_over_270mins,-0.003,0.003,0.0
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,Treatment_time_270_both_ivt_mt_over_270mins,0.0063,0.0063,0.0
onset_time_type_BE,Treatment_time_270_both_ivt_mt_over_270mins,0.0037,0.0037,0.0
onset_time_type_BE,eth5_White,-0.0013,0.0013,0.0
eth5_White,prior_disability,0.0062,0.0062,0.0
Treatment_time_270_both_ivt_mt_over_270mins,covid_status_Vaccination only,0.0071,0.0071,0.0
diabetes,Treatment_time_270_both_ivt_mt_over_270mins,-0.0034,0.0034,0.0
eth5_Asian or Asian British,Treatment_time_270_both_ivt_mt_over_270mins,0.0002,0.0002,0.0
Treatment_time_270_both_ivt_mt_over_270mins,eth5_Mixed or multiple ethnic groups,0.001,0.001,0.0
stroke_type_NK,"eth5_Black, Black British, Caribbean or African",-0.0027,0.0027,0.0
eth5_Mixed or multiple ethnic groups,onset_in_hospital_or_arrival_within_6hrs_in_hospital,-0.0016,0.0016,0.0
Treatment_time_270_both_only_mt_over_270mins,covid_status_Infection only,-0.0002,0.0002,0.0
covid_status_Vaccination and infection,Treatment_time_270_both_only_mt_over_270mins,0.0062,0.0062,0.0
Treatment_time_270_both_only_mt_over_270mins,eth5_Asian or Asian British,-0.0005,0.0005,0.0
eth5_Mixed or multiple ethnic groups,Treatment_time_270_both_only_mt_over_270mins,0.0034,0.0034,0.0
Treatment_time_270_both_only_mt_over_270mins,eth5_Other ethnic group,0.007,0.007,0.0
Treatment_time_270_both_only_mt_under_270mins,"eth5_Black, Black British, Caribbean or African",0.0037,0.0037,0.0
eth5_Other ethnic group,Treatment_time_270_both_only_mt_under_270mins,0.0051,0.0051,0.0
Treatment_time_270_both_only_mt_under_270mins,eth5_White,-0.006,0.006,0.0
onset_time_type_BE,Treatment_time_270_both_only_mt_under_270mins,-0.0055,0.0055,0.0
Treatment_time_270_both_ivt_mt_under_270mins,Treatment_time_270_both_only_mt_under_270mins,-0.0035,0.0035,0.0
age,diabetes,0.0006,0.0006,0.0
Treatment_time_270_both_only_mt_under_270mins,Treatment_time_270_both_only_mt_over_270mins,-0.0041,0.0041,0.0
onset_time_type_NK,stroke_type_I,0.0015,0.0015,0.0
stroke_type_PIH,onset_time_type_NK,-0.007,0.007,0.0
prior_disability,stroke_type_NK,0.0035,0.0035,0.0
Treatment_time_270_both_only_mt_under_270mins,diabetes,-0.0051,0.0051,0.0
eth5_Asian or Asian British,Treatment_time_270_both_only_mt_under_270mins,0.003,0.003,0.0
IMD_2019_QUINTILES,stroke_type_NK,0.0017,0.0017,0.0
covid_status_Infection only,Treatment_time_270_both_None,-0.0008,0.0008,0.0
stroke_type_PIH,onset_in_hospital_or_arrival_within_6hrs_onset_unknown,-0.007,0.007,0.0
onset_time_type_BE,stroke_type_NK,-0.0046,0.0046,0.0
Treatment_time_270_both_ivt_mt_under_270mins,Treatment_time_270_both_only_mt_over_270mins,-0.0058,0.0058,0.0
Treatment_time_270_both_only_mt_under_270mins,stroke_type_NK,-0.0032,0.0032,0.0
Treatment_time_270_both_only_ivt_under_270mins,eth5_Mixed or multiple ethnic groups,-0.0025,0.0025,0.0
Treatment_time_270_both_only_ivt_under_270mins,eth5_Other ethnic group,-0.0008,0.0008,0.0
eth5_White,Treatment_time_270_both_only_ivt_under_270mins,0.0054,0.0054,0.0
Treatment_time_270_both_only_ivt_under_270mins,onset_in_hospital_or_arrival_within_6hrs_in_hospital,-0.003,0.003,0.0
covid_status_Infection only,diabetes,0.006,0.006,0.0
any_afib_diagnosis,onset_time_type_P,-0.0063,0.0063,0.0
any_afib_diagnosis,stroke_type_NK,-0.0049,0.0049,0.0
Treatment_time_270_both_only_ivt_over_270mins,onset_time_type_NK,-0.0047,0.0047,0.0
Treatment_time_270_both_only_ivt_over_270mins,stroke_type_NK,-0.0047,0.0047,0.0
covid_status_Infection only,Treatment_time_270_both_only_ivt_under_270mins,-0.0007,0.0007,0.0
Treatment_time_270_both_only_ivt_under_270mins,covid_status_Vaccination and infection,0.0024,0.0024,0.0
Treatment_time_270_both_only_ivt_under_270mins,eth5_Asian or Asian British,-0.0,0.0,0.0
covid_status_Infection only,any_afib_diagnosis,0.0003,0.0003,0.0
covid_status_None,stroke_type_PIH,0.0023,0.0023,0.0
Treatment_time_270_both_only_mt_over_270mins,onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,-0.0031,0.0031,0.0
onset_in_hospital_or_arrival_within_6hrs_in_hospital,Treatment_time_270_both_only_mt_over_270mins,-0.0023,0.0023,0.0
Treatment_time_270_both_only_mt_over_270mins,onset_time_type_P,0.0014,0.0014,0.0
Treatment_time_270_both_only_mt_over_270mins,stroke_type_NK,-0.0048,0.0048,0.0
covid_status_Infection only,Treatment_time_270_both_only_mt_under_270mins,0.0035,0.0035,0.0
Treatment_time_270_both_only_mt_under_270mins,covid_status_Vaccination and infection,0.0014,0.0014,0.0
diabetes,Treatment_time_270_both_only_ivt_over_270mins,-0.0065,0.0065,0.0
eth5_Asian or Asian British,Treatment_time_270_both_only_ivt_over_270mins,0.0006,0.0006,0.0
"eth5_Black, Black British, Caribbean or African",Treatment_time_270_both_only_ivt_over_270mins,0.0009,0.0009,0.0
eth5_Mixed or multiple ethnic groups,Treatment_time_270_both_only_ivt_over_270mins,-0.0004,0.0004,0.0
eth5_Other ethnic group,Treatment_time_270_both_only_ivt_over_270mins,0.0007,0.0007,0.0
Treatment_time_270_both_only_ivt_over_270mins,eth5_White,-0.0017,0.0017,0.0
Treatment_time_270_both_only_ivt_over_270mins,onset_in_hospital_or_arrival_within_6hrs_onset_unknown,-0.0047,0.0047,0.0
diabetes,any_afib_diagnosis,0.0043,0.0043,0.0
onset_in_hospital_or_arrival_within_6hrs_in_hospital,IMD_2019_QUINTILES,0.006,0.006,0.0
IMD_2019_QUINTILES,onset_time_type_BE,0.0052,0.0052,0.0
"eth5_Black, Black British, Caribbean or African",Treatment_time_270_both_ivt_mt_over_270mins,-0.0001,0.0001,0.0
onset_in_hospital_or_arrival_within_6hrs_onset_unknown,stroke_type_I,0.0015,0.0015,0.0
IMD_2019_QUINTILES,Treatment_time_270_both_only_mt_under_270mins,0.0014,0.0014,0.0
Treatment_time_270_both_only_mt_over_270mins,IMD_2019_QUINTILES,0.0029,0.0029,0.0
Treatment_time_270_both_only_ivt_over_270mins,IMD_2019_QUINTILES,0.0001,0.0001,0.0
Treatment_time_270_both_ivt_mt_under_270mins,IMD_2019_QUINTILES,0.005,0.005,0.0
Treatment_time_270_both_ivt_mt_over_270mins,IMD_2019_QUINTILES,-0.0003,0.0003,0.0
any_afib_diagnosis,Treatment_time_270_both_ivt_mt_over_270mins,-0.0021,0.0021,0.0
covid_status_Infection only,Treatment_time_270_both_ivt_mt_over_270mins,-0.0009,0.0009,0.0
Treatment_time_270_both_ivt_mt_over_270mins,covid_status_Vaccination and infection,0.0014,0.0014,0.0
eth5_White,stroke_type_NK,0.0033,0.0033,0.0
eth5_White,Treatment_time_270_both_None,0.001,0.001,0.0
onset_in_hospital_or_arrival_within_6hrs_in_hospital,Treatment_time_270_both_None,0.006,0.006,0.0
Treatment_time_270_both_ivt_mt_under_270mins,Treatment_time_270_both_ivt_mt_over_270mins,-0.0016,0.0016,0.0
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,Treatment_time_270_both_ivt_mt_over_270mins,-0.0016,0.0016,0.0
Treatment_time_270_both_ivt_mt_over_270mins,Treatment_time_270_both_only_ivt_over_270mins,-0.0017,0.0017,0.0
Treatment_time_270_both_ivt_mt_over_270mins,Treatment_time_270_both_only_mt_over_270mins,-0.0018,0.0018,0.0
Treatment_time_270_both_ivt_mt_over_270mins,Treatment_time_270_both_only_mt_under_270mins,-0.0011,0.0011,0.0
covid_status_None,Treatment_time_270_both_None,0.0004,0.0004,0.0
covid_status_Vaccination and infection,Treatment_time_270_both_None,-0.004,0.004,0.0
covid_status_Vaccination only,Treatment_time_270_both_None,0.0007,0.0007,0.0
Treatment_time_270_both_None,eth5_Asian or Asian British,-0.0011,0.0011,0.0
Treatment_time_270_both_None,"eth5_Black, Black British, Caribbean or African",0.0037,0.0037,0.0
eth5_Mixed or multiple ethnic groups,Treatment_time_270_both_None,-0.0002,0.0002,0.0
eth5_Other ethnic group,Treatment_time_270_both_None,-0.0049,0.0049,0.0
stroke_type_NK,onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,-0.0001,0.0001,0.0
covid_status_Vaccination and infection,stroke_type_PIH,-0.0013,0.0013,0.0
eth5_Asian or Asian British,covid_status_Vaccination and infection,0.0,0.0,0.0
eth5_Mixed or multiple ethnic groups,covid_status_Vaccination and infection,-0.0012,0.0012,0.0
covid_status_Vaccination and infection,eth5_Other ethnic group,-0.002,0.002,0.0
covid_status_Vaccination and infection,eth5_White,0.0057,0.0057,0.0
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,covid_status_Vaccination and infection,-0.0055,0.0055,0.0
onset_in_hospital_or_arrival_within_6hrs_in_hospital,covid_status_Vaccination and infection,0.0066,0.0066,0.0
covid_status_Vaccination and infection,onset_in_hospital_or_arrival_within_6hrs_onset_unknown,-0.0003,0.0003,0.0
onset_time_type_BE,Treatment_time_270_both_only_ivt_over_270mins,-0.0065,0.0065,0.0
covid_status_None,onset_time_type_BE,-0.0053,0.0053,0.0
covid_status_None,onset_time_type_P,-0.0044,0.0044,0.0
stroke_type_I,covid_status_None,-0.0035,0.0035,0.0
stroke_type_NK,covid_status_None,0.0064,0.0064,0.0
stroke_type_NK,Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,-0.0045,0.0045,0.0
diabetes,covid_status_Vaccination and infection,0.007,0.007,0.0
eth5_Asian or Asian British,prior_disability,0.0018,0.0018,0.0
eth5_Asian or Asian British,stroke_severity_arrival,-0.0009,0.0009,0.0
stroke_type_NK,eth5_Asian or Asian British,-0.0005,0.0005,0.0
onset_in_hospital_or_arrival_within_6hrs_onset_unknown,"eth5_Black, Black British, Caribbean or African",-0.005,0.005,0.0
"eth5_Black, Black British, Caribbean or African",onset_time_type_NK,-0.005,0.005,0.0
stroke_type_I,covid_status_Vaccination only,0.0024,0.0024,0.0
stroke_type_NK,covid_status_Vaccination only,-0.0066,0.0066,0.0
covid_status_Vaccination only,stroke_type_PIH,-0.0011,0.0011,0.0
diabetes,stroke_type_NK,-0.0031,0.0031,0.0
onset_in_hospital_or_arrival_within_6hrs_onset_unknown,eth5_Asian or Asian British,-0.0064,0.0064,0.0
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,eth5_Asian or Asian British,0.0012,0.0012,0.0
eth5_Asian or Asian British,onset_time_type_NK,-0.0064,0.0064,0.0
covid_status_Vaccination and infection,IMD_2019_QUINTILES,0.0014,0.0014,0.0
Treatment_time_270_both_only_mt_over_270mins,Treatment_time_270_both_only_ivt_over_270mins,-0.0061,0.0061,0.0
Treatment_time_270_both_only_mt_under_270mins,Treatment_time_270_both_only_ivt_over_270mins,-0.0037,0.0037,0.0
covid_status_Infection only,Treatment_time_270_both_only_ivt_over_270mins,0.0011,0.0011,0.0
covid_status_Vaccination and infection,Treatment_time_270_both_only_ivt_over_270mins,0.0011,0.0011,0.0
covid_status_Infection only,stroke_type_I,0.0045,0.0045,0.0
covid_status_Infection only,stroke_type_NK,0.0003,0.0003,0.0
stroke_type_PIH,covid_status_Infection only,-0.0046,0.0046,0.0
covid_status_None,eth5_Asian or Asian British,0.0059,0.0059,0.0
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,covid_status_None,0.0048,0.0048,0.0
covid_status_Infection only,eth5_Mixed or multiple ethnic groups,0.0047,0.0047,0.0
eth5_Other ethnic group,covid_status_Infection only,0.0029,0.0029,0.0
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,covid_status_Infection only,-0.0051,0.0051,0.0
covid_status_Infection only,onset_in_hospital_or_arrival_within_6hrs_onset_unknown,0.0035,0.0035,0.0
stroke_type_NK,covid_status_Vaccination and infection,-0.0001,0.0001,0.0
covid_status_Infection only,onset_time_type_NK,0.0035,0.0035,0.0
onset_time_type_P,covid_status_Infection only,-0.0048,0.0048,0.0
"eth5_Black, Black British, Caribbean or African",Treatment_time_270_both_ivt_mt_under_270mins,0.0041,0.0041,0.0
Treatment_time_270_both_ivt_mt_under_270mins,eth5_Mixed or multiple ethnic groups,0.0061,0.0061,0.0
Treatment_time_270_both_ivt_mt_under_270mins,eth5_Other ethnic group,0.0064,0.0064,0.0
Treatment_time_270_both_ivt_mt_under_270mins,onset_in_hospital_or_arrival_within_6hrs_in_hospital,-0.0042,0.0042,0.0
stroke_type_NK,Treatment_time_270_both_ivt_mt_under_270mins,-0.0045,0.0045,0.0
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,Treatment_time_270_both_only_ivt_over_270mins,-0.0052,0.0052,0.0
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,covid_status_Vaccination and infection,0.0021,0.0021,0.0
covid_status_Vaccination and infection,onset_time_type_BE,0.0019,0.0019,0.0
onset_time_type_NK,covid_status_Vaccination and infection,-0.0003,0.0003,0.0
covid_status_Vaccination and infection,onset_time_type_P,-0.0016,0.0016,0.0
stroke_type_I,covid_status_Vaccination and infection,0.0013,0.0013,0.0
onset_time_type_BE,covid_status_Infection only,0.0014,0.0014,0.0
