,variable,value,abs_value,r-squared
age,"eth5_Black, Black British, Caribbean or African",-0.0993,0.0993,0.0099
onset_time_type_BE,onset_in_hospital_or_arrival_within_6hrs_within_6hrs,0.0969,0.0969,0.0094
Treatment_time_270_both_None,prior_disability,0.0931,0.0931,0.0087
eth5_Asian or Asian British,IMD_2019_QUINTILES,-0.0917,0.0917,0.0084
Treatment_time_270_both_ivt_mt_under_270mins,stroke_severity_arrival,0.0905,0.0905,0.0082
onset_in_hospital_or_arrival_within_6hrs_onset_unknown,stroke_severity_arrival,-0.0895,0.0895,0.008
onset_time_type_NK,stroke_severity_arrival,-0.0895,0.0895,0.008
diabetes,prior_disability,0.0889,0.0889,0.0079
Treatment_time_270_both_only_mt_over_270mins,stroke_severity_arrival,0.0841,0.0841,0.0071
covid_status_Vaccination only,covid_status_Vaccination and infection,-0.0822,0.0822,0.0068
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,stroke_severity_arrival,0.0827,0.0827,0.0068
prior_disability,onset_in_hospital_or_arrival_within_6hrs_in_hospital,0.082,0.082,0.0067
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,onset_in_hospital_or_arrival_within_6hrs_within_6hrs,0.0821,0.0821,0.0067
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,Treatment_time_270_both_ivt_mt_under_270mins,0.0787,0.0787,0.0062
diabetes,IMD_2019_QUINTILES,-0.0781,0.0781,0.0061
any_afib_diagnosis,eth5_White,0.0772,0.0772,0.006
onset_time_type_P,Treatment_time_270_both_ivt_mt_under_270mins,0.0738,0.0738,0.0055
onset_time_type_P,prior_disability,-0.0734,0.0734,0.0054
prior_disability,Treatment_time_270_both_only_ivt_under_270mins,-0.0687,0.0687,0.0047
covid_status_Infection only,covid_status_Vaccination only,-0.0672,0.0672,0.0045
onset_time_type_P,Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,0.0665,0.0665,0.0044
stroke_severity_arrival,Treatment_time_270_both_only_mt_under_270mins,0.0656,0.0656,0.0043
onset_time_type_P,age,-0.063,0.063,0.004
any_afib_diagnosis,eth5_Asian or Asian British,-0.0615,0.0615,0.0038
prior_disability,onset_time_type_BE,0.061,0.061,0.0037
stroke_type_PIH,onset_in_hospital_or_arrival_within_6hrs_within_6hrs,0.0609,0.0609,0.0037
Treatment_time_270_both_ivt_mt_over_270mins,Treatment_time_270_both_None,-0.0607,0.0607,0.0037
any_afib_diagnosis,IMD_2019_QUINTILES,0.0583,0.0583,0.0034
diabetes,"eth5_Black, Black British, Caribbean or African",0.0565,0.0565,0.0032
age,Treatment_time_270_both_None,0.0553,0.0553,0.0031
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,age,-0.0544,0.0544,0.003
onset_time_type_P,stroke_severity_arrival,0.0545,0.0545,0.003
diabetes,stroke_type_I,0.054,0.054,0.0029
stroke_type_PIH,diabetes,-0.0541,0.0541,0.0029
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,stroke_type_I,-0.0534,0.0534,0.0028
age,covid_status_Vaccination only,0.0532,0.0532,0.0028
age,covid_status_None,-0.0531,0.0531,0.0028
eth5_Mixed or multiple ethnic groups,age,-0.051,0.051,0.0026
onset_in_hospital_or_arrival_within_6hrs_in_hospital,any_afib_diagnosis,0.0497,0.0497,0.0025
onset_time_type_NK,Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,-0.0475,0.0475,0.0023
onset_in_hospital_or_arrival_within_6hrs_in_hospital,age,0.0477,0.0477,0.0023
onset_in_hospital_or_arrival_within_6hrs_onset_unknown,Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,-0.0475,0.0475,0.0023
Treatment_time_270_both_ivt_mt_under_270mins,onset_time_type_NK,-0.0472,0.0472,0.0022
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,stroke_type_I,0.0467,0.0467,0.0022
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,stroke_type_PIH,-0.0473,0.0473,0.0022
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,any_afib_diagnosis,-0.0472,0.0472,0.0022
Treatment_time_270_both_ivt_mt_under_270mins,onset_in_hospital_or_arrival_within_6hrs_onset_unknown,-0.0472,0.0472,0.0022
diabetes,onset_in_hospital_or_arrival_within_6hrs_within_6hrs,-0.0468,0.0468,0.0022
onset_time_type_BE,age,0.0466,0.0466,0.0022
onset_in_hospital_or_arrival_within_6hrs_in_hospital,stroke_severity_arrival,0.0436,0.0436,0.0019
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,prior_disability,-0.0428,0.0428,0.0018
Treatment_time_270_both_only_mt_under_270mins,onset_in_hospital_or_arrival_within_6hrs_within_6hrs,0.0428,0.0428,0.0018
"eth5_Black, Black British, Caribbean or African",any_afib_diagnosis,-0.0416,0.0416,0.0017
IMD_2019_QUINTILES,covid_status_Vaccination only,0.0402,0.0402,0.0016
Treatment_time_270_both_None,diabetes,0.0389,0.0389,0.0015
Treatment_time_270_both_ivt_mt_under_270mins,onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,-0.0382,0.0382,0.0015
onset_time_type_P,Treatment_time_270_both_only_mt_under_270mins,0.0387,0.0387,0.0015
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,-0.0384,0.0384,0.0015
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,IMD_2019_QUINTILES,0.0387,0.0387,0.0015
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,prior_disability,-0.037,0.037,0.0014
eth5_Other ethnic group,age,-0.0377,0.0377,0.0014
IMD_2019_QUINTILES,covid_status_None,-0.037,0.037,0.0014
any_afib_diagnosis,onset_in_hospital_or_arrival_within_6hrs_within_6hrs,0.0375,0.0375,0.0014
"eth5_Black, Black British, Caribbean or African",eth5_Asian or Asian British,-0.0377,0.0377,0.0014
Treatment_time_270_both_ivt_mt_under_270mins,prior_disability,-0.0357,0.0357,0.0013
stroke_type_NK,onset_in_hospital_or_arrival_within_6hrs_within_6hrs,-0.035,0.035,0.0012
eth5_White,covid_status_Vaccination only,0.0348,0.0348,0.0012
Treatment_time_270_both_only_ivt_over_270mins,onset_in_hospital_or_arrival_within_6hrs_within_6hrs,0.0348,0.0348,0.0012
Treatment_time_270_both_only_mt_under_270mins,onset_time_type_NK,-0.0333,0.0333,0.0011
onset_in_hospital_or_arrival_within_6hrs_onset_unknown,Treatment_time_270_both_only_mt_under_270mins,-0.0333,0.0333,0.0011
onset_time_type_BE,stroke_severity_arrival,0.0331,0.0331,0.0011
prior_disability,Treatment_time_270_both_only_mt_over_270mins,-0.0328,0.0328,0.0011
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,IMD_2019_QUINTILES,-0.0337,0.0337,0.0011
eth5_White,covid_status_None,-0.0314,0.0314,0.001
Treatment_time_270_both_only_mt_over_270mins,stroke_type_PIH,-0.031,0.031,0.001
any_afib_diagnosis,Treatment_time_270_both_only_mt_under_270mins,0.0311,0.0311,0.001
stroke_type_PIH,onset_in_hospital_or_arrival_within_6hrs_in_hospital,-0.0314,0.0314,0.001
Treatment_time_270_both_only_ivt_under_270mins,age,-0.0321,0.0321,0.001
stroke_type_I,Treatment_time_270_both_only_mt_over_270mins,0.0315,0.0315,0.001
age,Treatment_time_270_both_only_mt_over_270mins,-0.031,0.031,0.001
Treatment_time_270_both_ivt_mt_under_270mins,age,-0.0312,0.0312,0.001
diabetes,Treatment_time_270_both_only_ivt_under_270mins,-0.0294,0.0294,0.0009
age,Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,-0.0294,0.0294,0.0009
covid_status_Vaccination only,"eth5_Black, Black British, Caribbean or African",-0.0294,0.0294,0.0009
onset_time_type_NK,stroke_type_NK,0.0285,0.0285,0.0008
onset_in_hospital_or_arrival_within_6hrs_in_hospital,stroke_type_I,0.0274,0.0274,0.0008
Treatment_time_270_both_only_ivt_over_270mins,stroke_type_PIH,-0.0278,0.0278,0.0008
Treatment_time_270_both_only_ivt_over_270mins,stroke_type_I,0.0283,0.0283,0.0008
Treatment_time_270_both_only_ivt_over_270mins,stroke_severity_arrival,0.0291,0.0291,0.0008
any_afib_diagnosis,Treatment_time_270_both_only_ivt_under_270mins,-0.0287,0.0287,0.0008
Treatment_time_270_both_only_mt_over_270mins,covid_status_None,-0.0278,0.0278,0.0008
Treatment_time_270_both_only_ivt_over_270mins,onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,-0.0285,0.0285,0.0008
diabetes,onset_time_type_P,-0.0287,0.0287,0.0008
covid_status_None,"eth5_Black, Black British, Caribbean or African",0.0286,0.0286,0.0008
IMD_2019_QUINTILES,stroke_type_I,-0.029,0.029,0.0008
onset_in_hospital_or_arrival_within_6hrs_onset_unknown,stroke_type_NK,0.0285,0.0285,0.0008
stroke_type_PIH,IMD_2019_QUINTILES,0.0291,0.0291,0.0008
stroke_type_PIH,Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,-0.0266,0.0266,0.0007
stroke_type_I,Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,0.0271,0.0271,0.0007
Treatment_time_270_both_ivt_mt_under_270mins,onset_time_type_BE,-0.0262,0.0262,0.0007
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,covid_status_Vaccination only,0.0271,0.0271,0.0007
Treatment_time_270_both_only_mt_under_270mins,onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,-0.0269,0.0269,0.0007
any_afib_diagnosis,onset_time_type_BE,0.026,0.026,0.0007
