,feature name,feature value,min,1q,median,3q,max,mean,sd,n (nearest 5),kfold
0,stroke_severity_arrival,0.0,-86.50287213142961,-34.46039638482966,-31.807255803057924,-27.774554244218162,33.431981664970515,-30.712264661066207,7.203472812471919,1825,0
1,stroke_severity_arrival,1.0,-96.88220672238619,-45.55992507661693,-40.442789087565615,-35.61505398440175,-11.307052656207233,-40.70986382412099,7.915419959044431,2295,0
2,stroke_severity_arrival,2.0,-78.53044214470079,-41.32726989686955,-36.97991804770194,-32.49674370805733,21.328678208878262,-36.99193594644615,7.463285159667048,3015,0
3,stroke_severity_arrival,3.0,-59.04700048416853,-35.561610097354276,-31.831628932049497,-27.93491732234019,14.950747696673497,-31.762632567920253,6.184782246795598,2580,0
4,stroke_severity_arrival,4.0,-67.71393562365323,-32.51181625507772,-29.454377270112744,-25.631545971785673,-1.1622338308207691,-29.36796739258328,6.101839601928329,2140,0
5,stroke_severity_arrival,5.0,-58.99121419439092,-27.53036373286508,-24.849551264634357,-21.918059679563157,9.59585603505373,-25.278058213676566,5.765532526407918,1860,0
6,stroke_severity_arrival,6.0,-76.74489498866723,-25.646044218959286,-22.505453039072453,-19.552637336091138,7.96738395433873,-22.784874309483587,5.50754939695251,1660,0
7,stroke_severity_arrival,7.0,-95.1331623000279,-16.396831152522935,-13.608879210697488,-11.004041657363995,5.781144578615203,-14.147360539908753,5.573950930702816,1315,0
8,stroke_severity_arrival,8.0,-85.12600340375677,-11.515683793742209,-9.02477601739578,-6.946185513609089,32.98671639236156,-9.86205762684137,5.989482365116476,1070,0
9,stroke_severity_arrival,9.0,-52.16465152514167,-7.0403218961413945,-4.270570893483236,-1.79548709330149,30.367486471300946,-4.263536221824218,6.51756475599007,865,0
10,stroke_severity_arrival,10.0,-26.015963737983256,-2.6086453953851017,0.6845451816450805,4.36447097283788,46.71257629364729,1.5582168434929717,7.805336851432648,795,0
11,stroke_severity_arrival,11.0,-37.05886306994594,1.7690771047677845,6.249564599348232,12.745501600280404,57.027490263173824,7.025246490207628,8.806986416890464,705,0
12,stroke_severity_arrival,12.0,-34.43963195210323,3.477967287604697,11.355960710477085,18.541858655894174,76.41489821631461,11.014084724114845,11.034353846505997,630,0
13,stroke_severity_arrival,13.0,-53.03489466156345,18.46327600384131,26.131547257397322,34.00799732193351,69.57228528202512,25.89729343304666,13.755519633867674,595,0
14,stroke_severity_arrival,14.0,-0.4420465541817248,28.67161844523158,37.98139566277154,46.5722814947227,65.77213744598441,37.32877570368911,12.16806062878556,545,0
15,stroke_severity_arrival,15.0,-2.4346812490560112,27.951778547950088,37.9449871500954,47.04559529387858,78.20853525049985,37.28019709080157,13.088552945299226,495,0
16,stroke_severity_arrival,16.0,-39.41380025811493,36.37282101674471,48.571418881146236,58.40967864376027,92.52795740192757,47.43931682510661,16.172082016144117,475,0
17,stroke_severity_arrival,17.0,-3.067826350713149,35.430068216139915,47.42533535532188,58.34663099786965,97.46697553655133,47.33323921961532,16.78179747887202,480,0
18,stroke_severity_arrival,18.0,2.230154653005302,51.165344719225544,65.68900426943786,77.20696264366619,131.73127876607703,65.17079839316727,18.745662845279647,520,0
19,stroke_severity_arrival,19.0,11.058315884554759,63.51806731506251,76.36376010918525,86.36934558002744,127.81746505510063,74.93479054842922,19.459012990756246,510,0
