feature,r2,r2_best_kfold
stroke_severity_arrival,0.22602978775327204,0.2286362757330379
age,0.30384811622874697,0.30691095228286236
prior_disability,0.32523922644077474,0.32719305739929094
thrombolysis_no_but_haemorrhagic,0.3356830148463965,0.33655459497652784
onset_in_hospital,0.33882100815777944,0.34085966832252423
eth5,0.34189736179535757,0.34258771384523623
arrival_to_thrombolysis_time_mins,0.3448501763796295,0.3463073434956707
afib_anticoagulant,0.3464417786238639,0.3477538910569036
onset_to_su_arrival_time_mins,0.3482934836394301,0.3511971047606123
onset_time_type,0.350088427305603,0.3522598348833279
atrial_fibrillation,0.35188632518599405,0.354269733424313
male,0.35312814679680893,0.3550947128418148
thrombolysis_no_but_comorbidity,0.3543116252431472,0.3556345730551498
diabetes,0.35479360174319174,0.3570433175569011
arrival_to_thrombectomy_time_mins,0.35627117005183584,0.3574706791904304
arrive_by_ambulance,0.3570157562200795,0.3587608629159128
stroke_type,0.357836566827459,0.35909787417828554
prior_stroke_tia,0.35795284568002034,0.3597807712122848
thrombolysis_no_but_toomildsevere,0.3585659265661738,0.3597118965710745
thrombolysis_to_thrombectomy_time_mins,0.35863842842969096,0.36093606092880826
new_afib_diagnosis,0.3587398709803985,0.3610459735936087
afib_antiplatelet,0.35887720906304416,0.3614235562891507
inr_arrival,0.3592251815534525,0.3608786401972488
afib_doac_anticoagulant,0.3592608971444152,0.3611714641265189
hypertension,0.3595715500251148,0.361822778728783
