coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),count,feature description
0.2924149902916901,1.3396588477152527,0.009833884517240214,0.27314093080977325,0.31168904977360695,1.314085426898827,1.3657299529583273,0.0,29.735450907425705,2.6744094708019402e-194,643.0348300391008,69055,
0.541152893854046,1.7179863768156396,0.010311114182934716,0.5209434814150138,0.5613623062930782,1.683615360395908,1.7530590777159925,0.0,52.48248484627146,0.0,inf,43900,
0.7857497748934912,2.194051368812101,0.009331110836032178,0.7674611337191167,0.8040384160678656,2.1542898509375243,2.2345467611479077,0.0,84.20752777464722,0.0,inf,48710,
0.9330098041757585,2.542149045409726,0.010820851529598868,0.9118013248956895,0.9542182834558275,2.4888016383636407,2.5966399529239372,0.0,86.223325551011,0.0,inf,24080,
0.9511057614309281,2.588570418695899,0.01670207916893026,0.9183702877928881,0.983841235068968,2.505204299236951,2.6747107270207056,0.0,56.945351043491954,0.0,inf,6230,
-0.05557353798854685,0.9459424584069489,0.015168961046754081,-0.08530415532307585,-0.02584292065401785,0.9182329564825362,0.9744881495483555,0.0,-3.6636350912403923,0.0002486609732892469,11.973532281565163,160495,
0.548519606270374,1.7306890192998543,0.014717479703537257,0.5196738761082418,0.5773653364325062,1.681479189733532,1.781339013776175,0.0,37.26994141113309,5.037473946223448e-304,1007.533440373706,130910,
1.3917681441742997,4.021955166307367,0.01627728523677148,1.359865251344142,1.4236710370044574,3.8956683303552277,4.152335873601308,0.0,85.50370187223862,0.0,inf,27245,
1.9833263874098295,7.266875268649789,0.01551895593973083,1.9529097926902932,2.013742982129366,7.049169388790101,7.491304756286708,0.0,127.80024604182421,0.0,inf,32740,
0.856610355762213,2.3551639803407434,0.0156918978311412,0.825854801164094,0.887365910360332,2.2838321535694797,2.428723742077619,0.0,54.58934062534077,0.0,inf,177740,
1.4434241064870477,4.235172699973321,0.015779406239697143,1.4124970385598146,1.4743511744142808,4.106195942843533,4.368200652932843,0.0,91.47518509636593,0.0,inf,144480,
-0.21288625845754403,0.8082480633698927,0.13879640001020618,-0.48492220366136296,0.05914968674627488,0.6157450976151337,1.060934036618997,0.0,-1.5338024505094494,0.12507825996414138,2.99909704053548,195,IVT & MT received after 270 minutes from stroke onset
-0.8649513885117456,0.4210720210674228,0.056721011334070585,-0.9761225278932122,-0.753780249130279,0.3767691821804517,0.470584260367894,0.0,-15.249223668058887,1.6660217064475495e-52,172.0038537365725,1915,IVT and MT received before 270 minutes from stroke onset
-0.4784210692310854,0.619761179669291,0.04884840857576291,-0.5741621907416783,-0.3826799477204926,0.5631765056990345,0.6820311499825581,0.0,-9.79399499758654,1.194796441522314e-22,72.82565324155152,1940,"IVT received before 270 minutes from stroke onset, MT received after 270 minutes from stroke onset"
-0.24023584558511038,0.786442360234032,0.04658242484156612,-0.3315357205871239,-0.14893597058309685,0.7178205147885368,0.8616242824331607,0.0,-5.157220698625906,2.506423163922799e-07,21.927866656194063,2110,"IVT received after 270 minutes from stroke onset, no MT"
-0.3249020085764371,0.7225981585951012,0.012773547760833733,-0.34993770214247344,-0.29986631501040073,0.7047319916444114,0.7409172635779715,0.0,-25.435534016058718,1.0206192903698433e-142,471.684344659036,36595,"IVT received before 270 minutes from stroke onset, no MT"
-0.24225937447460064,0.7848525804233355,0.037130083722754795,-0.3150330013141569,-0.16948574763504434,0.7297647906745461,0.8440987847985716,0.0,-6.524611586753155,6.817797740707946e-11,33.77190324316929,2620,"No IVT, MT received after 270 minutes from stroke onset"
-0.5606593552807518,0.5708325582752624,0.060221987783263604,-0.6786922824133597,-0.442626428148144,0.507279937694353,0.6423471250767506,0.0,-9.309877935257488,1.2797934446905755e-20,66.08265091593384,955,"No IVT, MT received before 270 minutes from stroke onset"
0.24009580312977458,1.2713709458028297,0.006691682618513882,0.2269803462015147,0.25321126005803446,1.2548052060092727,1.2881553838720983,0.0,35.87973560872439,6.325210051492501e-282,934.1226093677234,93805,
0.1117102389300718,1.1181888061132776,0.008117791344650654,0.09579966026054554,0.12762081759959806,1.1005385602984603,1.136122123497381,0.0,13.76116164942882,4.364570149857203e-43,140.7170685049287,143305,
0.049567743871017804,1.050816776199808,0.24535494976342812,-0.43131912109393555,0.5304546088359712,0.649651560174974,1.6997048338428573,0.0,0.20202463377572433,0.8398974662559406,0.25171487884473287,120435,
-0.4001911990409008,0.6701918937374294,0.01750077237879378,-0.43449208260496996,-0.3658903154768316,0.6475935075664645,0.6935788719056352,0.0,-22.867059257671663,9.887577076826474e-116,382.0380419710354,19210,
-0.43206144631821963,0.649169486384765,0.023986190294206074,-0.47907351542118776,-0.3850493772152515,0.619356950731997,0.6804170382765485,0.0,-18.012924979694887,1.5425764338668886e-72,238.55348085594895,10325,
-0.34941629997337287,0.7050995362444382,0.04798615480467251,-0.44346743514709464,-0.2553651647996511,0.641807133748876,0.7746335773928169,0.0,-7.28160656747078,3.2986791849582447e-13,41.46317675899021,2560,
-0.05115911758286598,0.9501274765164549,0.03405474626269452,-0.11790519376039725,0.015586958594665287,0.888780310539541,1.0157090688513453,0.0,-1.5022610119667386,0.13302971342116332,2.9101795738406926,3520,
0.11360661711483441,1.1203113268865892,0.007411846474995674,0.09907966496490274,0.1281335692647661,1.1041542584654618,1.1367048213849278,0.0,15.32770781182441,4.9929702545854645e-53,173.74229071713285,88570,
0.005566447393178711,1.005581968847892,0.010078850866369433,-0.014187737310455698,0.02532063209681312,0.9859124343386184,1.0256439221707807,0.0,0.5522898857202594,0.5807497590988016,0.7840114442984563,76835,"Living in IMD quintile 2 (IMD1 is most deprived, IMD5 is least deprived)"
